"時点","地域コード","地域","総人口（総数）【人】","注記","完全失業率（男女計）【%】","注記","景気動向指数（一致）2020年基準","注記","国内総生産（支出側）（名目）2020年基準【10億円】","注記","県内総生産（名目）2015年基準【百万円】","注記"
"2010年7-9月期","00000","全国","","","5.1","","","","126336.1","","",""
"2010年10-12月期","00000","全国","","","4.8","","","","133390.0","","",""
"2011年1-3月期","00000","全国","","","4.8","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","","","123923.5","","",""
"2011年4-6月期","00000","全国","","","4.8","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","","","121844.7","","",""
"2011年7-9月期","00000","全国","","","4.5","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","","","123628.4","","",""
"2011年10-12月期","00000","全国","","","4.3","","","","131745.4","","",""
"2012年1-3月期","00000","全国","","","4.5","","","","126986.1","","",""
"2012年4-6月期","00000","全国","","","4.6","","","","124452.7","","",""
"2012年7-9月期","00000","全国","","","4.3","","","","123009.4","","",""
"2012年10-12月期","00000","全国","","","4.0","","","","130928.8","","",""
"2013年1-3月期","00000","全国","","","4.3","","","","126147.4","","",""
"2013年4-6月期","00000","全国","","","4.2","","","","126462.1","","",""
"2013年7-9月期","00000","全国","","","4.0","","","","126850.4","","",""
"2013年10-12月期","00000","全国","","","3.7","","","","135093.4","","",""
"2014年1-3月期","00000","全国","","","3.7","","","","130748.3","","",""
"2014年4-6月期","00000","全国","","","3.7","","","","129810.7","","",""
"2014年7-9月期","00000","全国","","","3.6","","","","129007.6","","",""
"2014年10-12月期","00000","全国","","","3.3","","","","138649.1","","",""
"2015年1-3月期","00000","全国","","","3.5","","","","136278.8","","",""
"2015年4-6月期","00000","全国","","","3.4","","","","135067.6","","",""
"2015年7-9月期","00000","全国","","","3.4","","","","134446.8","","",""
"2015年10-12月期","00000","全国","","","3.1","","","","143073.4","","",""
"2016年1-3月期","00000","全国","","","3.2","","","","139357.0","","",""
"2016年4-6月期","00000","全国","","","3.3","","","","136575.5","","",""
"2016年7-9月期","00000","全国","","","3.1","","","","135354.1","","",""
"2016年10-12月期","00000","全国","","","2.9","","","","144684.0","","",""
"2017年1-3月期","00000","全国","","","2.9","","","","139659.8","","",""
"2017年4-6月期","00000","全国","","","3.0","","","","138181.3","","",""
"2017年7-9月期","00000","全国","","","2.8","","","","138866.8","","",""
"2017年10-12月期","00000","全国","","","2.6","","","","148411.1","","",""
"2018年1-3月期","00000","全国","","","2.5","","","","142208.9","","",""
"2018年4-6月期","00000","全国","","","2.5","","","","140452.1","","",""
"2018年7-9月期","00000","全国","","","2.5","","","","138349.0","","",""
